dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
MIC,TabPFN-v2.6,1132,567,8,0.18248956714817177,1.354627795024311,0.051199279725551605,0.8906525373458862,0.020357713103294373
SDSS17,TabPFN-v2.6,52035,26018,3,0.03427212247479182,0.06968588872173156,0.0013026230735704303,0.97901451587677,0.06399741908535361
anneal,TabPFN-v2.6,598,300,5,0.006422169076724572,0.2306149821456944,0.0029457807540893555,0.996666669845581,0.009912132984027267
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06832455674088286,0.1748563801925613,0.0020723342895507812,0.9648985862731934,0.007606188068166375
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18814868331125262,0.929415634806714,0.034195393323898315,0.8786982297897339,0.006657308898866177
splice,TabPFN-v2.6,2126,1064,3,0.03560100487930879,0.07689004838964196,0.012235933914780617,0.9765037298202515,0.007752637844532728
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3138485286356521,0.5971806705292912,0.02761923521757126,0.7762711644172668,0.009570077061653137
website_phishing,TabPFN-v2.6,902,451,3,0.11021744858723584,0.3330019417836432,0.022680044174194336,0.9312638640403748,0.006771822925657034
MIC,TabICLv2,1132,567,8,0.18670662472919142,1.3640114089192428,0.04562072828412056,0.8888888955116272,0.017754511907696724
SDSS17,TabICLv2,52035,26018,3,0.03542893210459995,0.07350110314683464,0.0009201478096656501,0.9782074093818665,0.06168376887217164
anneal,TabICLv2,598,300,5,0.014408953764569219,0.2430639733103499,0.009303808212280273,0.9900000095367432,0.010236749891191721
hiva_agnostic,TabICLv2,2563,1282,3,0.06830640792544318,0.1759458013445463,0.0041956305503845215,0.9648985862731934,0.007723150076344609
maternal_health_risk,TabICLv2,676,338,3,0.17872296851228958,1.2849239098882672,0.042195092886686325,0.8875739574432373,0.007099827053025365
splice,TabICLv2,2126,1064,3,0.03375914589848571,0.07340365369759162,0.010672389529645443,0.981203019618988,0.008124863030388951
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3112248603405572,0.5913789921820636,0.025195196270942688,0.7850847244262695,0.009964507073163986
website_phishing,TabICLv2,902,451,3,0.10842805206379663,0.3279921131967958,0.023748323321342468,0.9334811568260193,0.006777893984690309
MIC,RealTabPFN-v2.5,1132,567,8,0.18162314989936496,1.2434409544051008,0.04548443481326103,0.89241623878479,0.017763630021363497
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03244247529151433,0.0677147639620044,0.001636168803088367,0.9802444577217102,0.060043787118047476
anneal,RealTabPFN-v2.5,598,300,5,0.007671452000115487,0.23276511258501556,0.004818330518901348,0.996666669845581,0.01014465419575572
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06846497012104594,0.17509181282798755,0.0010742866434156895,0.9648985862731934,0.008197739021852612
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.1963525442535319,0.3761739641503696,0.047757554799318314,0.8786982297897339,0.00683565903455019
splice,RealTabPFN-v2.5,2126,1064,3,0.04044825384680146,0.08831155140246327,0.007248107343912125,0.9755638837814331,0.008150327950716019
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30941687131776596,0.5897857767072069,0.026530999690294266,0.7810169458389282,0.01000870019197464
website_phishing,RealTabPFN-v2.5,902,451,3,0.11412250275112334,0.34521253142310115,0.028090113773941994,0.9290465712547302,0.006685738917440176
MIC,TabICL_GPU,1132,567,8,0.19200464238771678,1.0394221372444596,0.03418537601828575,0.8835979104042053,0.017744285985827446
SDSS17,TabICL_GPU,52035,26018,3,0.03843251778740374,0.07801004635832771,0.0018785392167046666,0.9765162467956543,0.06409480306319892
anneal,TabICL_GPU,598,300,5,0.02122011278806946,0.25659396070563983,0.013304625637829304,0.9900000095367432,0.0101372089702636
maternal_health_risk,TabICL_GPU,676,338,3,0.18330922506893335,1.3024103443571833,0.03257234767079353,0.8846153616905212,0.006767503917217255
splice,TabICL_GPU,2126,1064,3,0.07452629913498938,0.1441848305454877,0.012847009114921093,0.951127827167511,0.008351860102266073
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32274490946290774,0.6119026341897491,0.03334013745188713,0.7627118825912476,0.009876490104943514
website_phishing,TabICL_GPU,902,451,3,0.11152370501137739,0.33034499156172864,0.023416632786393166,0.9312638640403748,0.006941499887034297
MIC,LimiX_GPU,1132,567,8,0.18725117326747925,1.3747145803034249,0.05070805922150612,0.8888888955116272,0.017434349050745368
anneal,LimiX_GPU,598,300,5,0.007788387237139,0.23400477640368914,0.006298822816461325,0.996666669845581,0.009930578991770744
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06820434424885011,0.17373306389918838,0.001350868376903236,0.9648985862731934,0.007931021973490715
maternal_health_risk,LimiX_GPU,676,338,3,0.18544215687891583,0.7362716892070558,0.038584835827350616,0.8934911489486694,0.0069230429362505674
splice,LimiX_GPU,2126,1064,3,0.03393976320555654,0.13667422494012135,0.012027017772197723,0.9830827116966248,0.008148449007421732
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3164742590054007,0.5999079648458828,0.02719259262084961,0.7701694965362549,0.009828084148466587
website_phishing,LimiX_GPU,902,451,3,0.11567749134556282,0.3434365427370487,0.024820031598210335,0.9268292784690857,0.007158641004934907
MIC,TabM_GPU,1132,567,8,0.18323886071237985,0.9045983673170765,0.043981701135635376,0.8906525373458862,0.017883763881400228
SDSS17,TabM_GPU,52035,26018,3,0.04059955382091991,0.08352954964284522,0.002034804318100214,0.9746329188346863,0.06438783183693886
anneal,TabM_GPU,598,300,5,0.00724209778572845,0.23212993327180315,0.00475847814232111,0.996666669845581,0.009959446033462882
hiva_agnostic,TabM_GPU,2563,1282,3,0.06830021807359325,0.17456336530676198,0.0003274679183959961,0.9648985862731934,0.007870166096836329
maternal_health_risk,TabM_GPU,676,338,3,0.2620689510999394,0.4720804766000396,0.06151195243000984,0.8224852085113525,0.006783114979043603
splice,TabM_GPU,2126,1064,3,0.042529599286788164,0.15131034866148005,0.010733922943472862,0.9736841917037964,0.008166093146428466
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3193966396771167,0.5643989502995502,0.02479495480656624,0.7688135504722595,0.010024552000686526
website_phishing,TabM_GPU,902,451,3,0.12059921937271133,0.35175893613268616,0.035790279507637024,0.9268292784690857,0.007216152036562562
MIC,RealMLP_GPU,1132,567,8,0.18380735087067993,0.9027694781320472,0.04209382086992264,0.8906525373458862,0.017998622031882405
SDSS17,RealMLP_GPU,52035,26018,3,0.04275970063185624,0.086082418257006,0.002202762058004737,0.9742870330810547,0.055021513951942325
anneal,RealMLP_GPU,598,300,5,0.013460772024950177,0.23971765798534217,0.009361300617456436,0.9900000095367432,0.009821036830544472
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06889251982772425,0.17755353062836632,0.0020853232126682997,0.9648985862731934,0.008454321883618832
maternal_health_risk,RealMLP_GPU,676,338,3,0.21283424787511337,0.9652797632858126,0.08476399630308151,0.860946774482727,0.006739571923390031
splice,RealMLP_GPU,2126,1064,3,0.03936825867672719,0.08450539598045644,0.010408714413642883,0.9736841917037964,0.008070800919085741
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.316231110283868,0.6473179389371096,0.017824623733758926,0.7762711644172668,0.009674561908468604
website_phishing,RealMLP_GPU,902,451,3,0.11695823742862103,0.632252801905882,0.038781505078077316,0.9223946928977966,0.00705765699967742
MIC,BetaTabPFN_GPU,1132,567,8,0.18049565914580057,1.1173786953810974,0.036806948482990265,0.8888888955116272,0.01812962512485683
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04782281600821218,0.09544155023484935,0.00291507039219141,0.9711738228797913,0.062280280981212854
anneal,BetaTabPFN_GPU,598,300,5,0.015224448115806123,0.4646233257726926,0.007816568948328495,0.9900000095367432,0.010225101141259074
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0683242449119563,0.1741666010693523,0.0010659437393769622,0.9648985862731934,0.008215020876377821
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28696401589527537,0.5019698728817975,0.077757827937603,0.8047337532043457,0.0070204599760472775
splice,BetaTabPFN_GPU,2126,1064,3,0.039769752150879106,0.08218125854464717,0.012603896670043468,0.9746240377426147,0.008544435957446694
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31974192293622866,0.6114862587461078,0.027531251311302185,0.7688135504722595,0.009924768935889006
website_phishing,BetaTabPFN_GPU,902,451,3,0.1293229304470778,0.36352340364847696,0.029973536729812622,0.9201774001121521,0.00732077588327229
MIC,ModernNCA_GPU,1132,567,8,0.1815961379296605,0.787191902068187,0.04421145096421242,0.8906525373458862,0.018177892081439495
SDSS17,ModernNCA_GPU,52035,26018,3,0.038064966457517474,0.07500865174508478,0.0022965315729379654,0.9762856364250183,0.054486318025738
anneal,ModernNCA_GPU,598,300,5,0.006996451870285026,0.23192136750927014,0.004591075703501701,0.996666669845581,0.009983652969822288
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06866947637769386,0.17804588267801205,0.0023399873171001673,0.9648985862731934,0.00831886800006032
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21708074733690064,1.1574448422692125,0.052216991782188416,0.8491124510765076,0.006911976030096412
splice,ModernNCA_GPU,2126,1064,3,0.04478722869073133,0.09674698074800267,0.022218555212020874,0.9746240377426147,0.008159687044098973
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3242056802832786,0.5742967349175782,0.024708129465579987,0.7762711644172668,0.010104920016601682
website_phishing,ModernNCA_GPU,902,451,3,0.1308443216035044,0.6556243869011067,0.04170634597539902,0.9201774001121521,0.006956147961318493
MIC,Mitra_GPU,1132,567,8,0.18262121421921632,1.0165272437286519,0.04368020221590996,0.8906525373458862,0.018000227166339755
anneal,Mitra_GPU,598,300,5,0.0099749473890232,0.23952564513241115,0.010483759455382824,0.996666669845581,0.00987971993163228
maternal_health_risk,Mitra_GPU,676,338,3,0.19170993144043036,0.5600067906161481,0.05719573050737381,0.8905325531959534,0.007149182027205825
splice,Mitra_GPU,2126,1064,3,0.04146725888872705,0.08703293250429486,0.010938793420791626,0.9736841917037964,0.008174709975719452
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31430579212296517,0.6023857956305008,0.03410143405199051,0.7762711644172668,0.010044582188129425
website_phishing,Mitra_GPU,902,451,3,0.11765953751164647,0.3431363829181623,0.0369773767888546,0.9223946928977966,0.007183808134868741
MIC,TabDPT_GPU,1132,567,8,0.19250398955540804,1.6079336029574112,0.04211008921265602,0.8871251940727234,0.018444648012518883
SDSS17,TabDPT_GPU,52035,26018,3,0.040685709896538635,0.08281641604204751,0.0020553225185722113,0.9750941395759583,0.05779981496743858
anneal,TabDPT_GPU,598,300,5,0.013323397685097096,0.4616196495759404,0.007692747749388218,0.9933333396911621,0.010212907800450921
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0685247988969833,0.22900144687043192,0.0006662210798822343,0.9648985862731934,0.008427854860201478
maternal_health_risk,TabDPT_GPU,676,338,3,0.17666948710817615,1.104649760697606,0.0534389391541481,0.8846153616905212,0.008051509037613869
splice,TabDPT_GPU,2126,1064,3,0.09822460540718715,0.1796136529691413,0.012530766427516937,0.9360902309417725,0.008676916128024459
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3251516222349893,0.6147152660571846,0.02149149216711521,0.7620338797569275,0.009524713037535548
website_phishing,TabDPT_GPU,902,451,3,0.11465207874342528,0.33780078058493823,0.029906248673796654,0.9290465712547302,0.007085281889885664
