dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
MIC,TabPFN-v2.6,1132,567,8,0.1822047084569931,0.4804667532444,0.042543187737464905,0.8871251940727234,0.2994766959454864
SDSS17,TabPFN-v2.6,52035,26018,3,0.03435555472970009,0.06748944520950317,0.0012877886183559895,0.9788607954978943,0.2753422420937568
anneal,TabPFN-v2.6,598,300,5,0.01787494495511055,0.2691386938095093,0.010641721077263355,0.9866666793823242,0.10310020903125405
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06838712841272354,0.1745734065771103,0.00042945146560668945,0.9648985862731934,0.028820852050557733
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1913241297006607,0.3677939474582672,0.050664711743593216,0.8727810382843018,0.0346116260625422
splice,TabPFN-v2.6,2126,1064,3,0.03677060082554817,0.08063342422246933,0.01428765058517456,0.9774436354637146,0.022249855799600482
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.311850905418396,0.5502750873565674,0.027236131951212883,0.7830508351325989,0.031540434109047055
website_phishing,TabPFN-v2.6,902,451,3,0.11107996106147766,0.2103434056043625,0.02422722615301609,0.9312638640403748,0.027509264880791306
MIC,TabICLv2,1132,567,8,0.1855475753545761,0.5030068159103394,0.042168255895376205,0.8853615522384644,0.22483796114102006
SDSS17,TabICLv2,52035,26018,3,0.03527769073843956,0.07096870243549347,0.001362886163406074,0.978553295135498,0.28770013502798975
anneal,TabICLv2,598,300,5,0.007040778174996376,0.12674576044082642,0.0029786357190459967,0.996666669845581,0.1017119640018791
hiva_agnostic,TabICLv2,2563,1282,3,0.06838884949684143,0.1749281883239746,0.0006239613285288215,0.9648985862731934,0.04902391484938562
maternal_health_risk,TabICLv2,676,338,3,0.17578153312206268,0.3461707830429077,0.03920792043209076,0.8846153616905212,0.03448822093196213
splice,TabICLv2,2126,1064,3,0.03475590795278549,0.07626304775476456,0.01411366555839777,0.981203019618988,0.026973900152370334
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3107708990573883,0.5469432473182678,0.0216040201485157,0.7762711644172668,0.022808338049799204
website_phishing,TabICLv2,902,451,3,0.10875534266233444,0.20693285763263702,0.026769254356622696,0.9334811568260193,0.030568083049729466
MIC,RealTabPFN-v2.5,1132,567,8,0.1815951019525528,0.4787020683288574,0.04052608832716942,0.8906525373458862,0.22612133296206594
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03236955404281616,0.06544789671897888,0.001321174786426127,0.9803212881088257,0.3042153238784522
anneal,RealTabPFN-v2.5,598,300,5,0.007165119517594576,0.02272503450512886,0.004892739001661539,0.996666669845581,0.062023991951718926
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06825806200504303,0.17370402812957764,0.0004608631134033203,0.9648985862731934,0.037298863055184484
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20479190349578857,0.38534310460090637,0.051601048558950424,0.8757396340370178,0.0345842270180583
splice,RealTabPFN-v2.5,2126,1064,3,0.03961209952831268,0.08551424741744995,0.01304028369486332,0.9736841917037964,0.02609955007210374
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30874475836753845,0.546320378780365,0.01571282558143139,0.7884745597839355,0.028880645986646414
website_phishing,RealTabPFN-v2.5,902,451,3,0.11530102044343948,0.22043083608150482,0.029192164540290833,0.9290465712547302,0.03859555604867637
MIC,TabICL_GPU,1132,567,8,0.19390584528446198,0.5328261256217957,0.03675144538283348,0.8835979104042053,0.25506716198287904
SDSS17,TabICL_GPU,52035,26018,3,0.037939753383398056,0.07488391548395157,0.0025242604315280914,0.9767468571662903,0.4578603592235595
anneal,TabICL_GPU,598,300,5,0.025391774252057076,0.11531800776720047,0.010664425790309906,0.9833333492279053,0.11994740599766374
maternal_health_risk,TabICL_GPU,676,338,3,0.18087255954742432,0.3613737225532532,0.032726045697927475,0.88165682554245,0.031960560008883476
splice,TabICL_GPU,2126,1064,3,0.07651185989379883,0.14270445704460144,0.012444894760847092,0.9483082890510559,0.028738630935549736
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3211906850337982,0.5656537413597107,0.025801710784435272,0.7681356072425842,0.029813022119924426
website_phishing,TabICL_GPU,902,451,3,0.11239296197891235,0.20762483775615692,0.029730651527643204,0.9334811568260193,0.028666896047070622
MIC,LimiX_GPU,1132,567,8,0.18951515853405,0.5105658173561096,0.044271327555179596,0.8818342089653015,0.21448635193519294
anneal,LimiX_GPU,598,300,5,0.007219997234642506,0.019423723220825195,0.004054786171764135,0.996666669845581,0.05377589608542621
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06841886043548584,0.17632168531417847,0.0008315517916344106,0.9648985862731934,0.03717362997122109
maternal_health_risk,LimiX_GPU,676,338,3,0.19153915345668793,0.37066709995269775,0.04623384401202202,0.88165682554245,0.03765934193506837
splice,LimiX_GPU,2126,1064,3,0.036677516996860504,0.08135682344436646,0.017418064177036285,0.9821428656578064,0.02808876195922494
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3160100281238556,0.5571066737174988,0.03390079364180565,0.7769491672515869,0.029705401975661516
website_phishing,LimiX_GPU,902,451,3,0.1156628206372261,0.21476411819458008,0.026789145544171333,0.9290465712547302,0.025677014840766788
MIC,TabM_GPU,1132,567,8,0.18289662897586823,0.4707046449184418,0.044266488403081894,0.8888888955116272,0.17171224998310208
SDSS17,TabM_GPU,52035,26018,3,0.04038705676794052,0.08058469742536545,0.0022251266054809093,0.9751710295677185,0.42838860605843365
anneal,TabM_GPU,598,300,5,0.0101255988702178,0.037212032824754715,0.006344502791762352,0.996666669845581,0.07363810110837221
hiva_agnostic,TabM_GPU,2563,1282,3,0.06827857345342636,0.17410361766815186,0.00015604496002197266,0.9648985862731934,0.019751006038859487
maternal_health_risk,TabM_GPU,676,338,3,0.26293033361434937,0.4737790822982788,0.07305943220853806,0.8254438042640686,0.026665431912988424
splice,TabM_GPU,2126,1064,3,0.0415007509291172,0.09225063025951385,0.015697909519076347,0.9755638837814331,0.031198251992464066
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3183613717556,0.5632980465888977,0.02664981782436371,0.7735593318939209,0.03343786206096411
website_phishing,TabM_GPU,902,451,3,0.1202709823846817,0.2292882204055786,0.020826511085033417,0.9246119856834412,0.026373942149803042
MIC,RealMLP_GPU,1132,567,8,0.18282993137836456,0.4716898202896118,0.03149024397134781,0.8888888955116272,0.13807848189026117
SDSS17,RealMLP_GPU,52035,26018,3,0.04263294115662575,0.08555508404970169,0.002127091633155942,0.9741716980934143,0.26475109113380313
anneal,RealMLP_GPU,598,300,5,0.023486889898777008,0.6832078695297241,0.01285207737237215,0.9866666793823242,0.03300130693241954
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06845308095216751,0.17559024691581726,0.000506628945004195,0.9648985862731934,0.023638132959604263
maternal_health_risk,RealMLP_GPU,676,338,3,0.20975586771965027,0.3994491994380951,0.07952076196670532,0.8846153616905212,0.026229592971503735
splice,RealMLP_GPU,2126,1064,3,0.03956378251314163,0.08655164390802383,0.014784104190766811,0.9765037298202515,0.031212656060233712
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31543871760368347,0.5589389204978943,0.024342309683561325,0.7830508351325989,0.032050807029008865
website_phishing,RealMLP_GPU,902,451,3,0.11735367774963379,0.21031293272972107,0.02898554690182209,0.9268292784690857,0.034443672047927976
MIC,BetaTabPFN_GPU,1132,567,8,0.18014557659626007,0.45179206132888794,0.04736391454935074,0.8888888955116272,0.16061756014823914
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04756855219602585,0.09451033920049667,0.003455637488514185,0.9712506532669067,0.4045315308030695
anneal,BetaTabPFN_GPU,598,300,5,0.019999999552965164,0.6881347894668579,0.009999573230743408,0.9900000095367432,0.0297955428250134
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06826088577508926,0.17370453476905823,7.718801498413086e-05,0.9648985862731934,0.030522774904966354
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28305500745773315,0.49875420331954956,0.08488941937685013,0.8284023404121399,0.029108354123309255
splice,BetaTabPFN_GPU,2126,1064,3,0.03980204835534096,0.08561525493860245,0.015573586337268353,0.9746240377426147,0.028857649071142077
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31967636942863464,0.567040205001831,0.03281736746430397,0.7735593318939209,0.03207908710464835
website_phishing,BetaTabPFN_GPU,902,451,3,0.12864142656326294,0.23366747796535492,0.023110555484890938,0.9179601073265076,0.02989064995199442
MIC,ModernNCA_GPU,1132,567,8,0.18170325458049774,0.4527185261249542,0.030722400173544884,0.8906525373458862,0.18997868103906512
SDSS17,ModernNCA_GPU,52035,26018,3,0.037945929914712906,0.07476475834846497,0.003044922137632966,0.9760934710502625,0.3525217839051038
anneal,ModernNCA_GPU,598,300,5,0.02503376081585884,0.3861681818962097,0.013400502502918243,0.9866666793823242,0.026022535981610417
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851708889007568,0.17651782929897308,0.002919329795986414,0.9648985862731934,0.03627367503941059
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21320347487926483,0.39863771200180054,0.03730838745832443,0.860946774482727,0.031564213102683425
splice,ModernNCA_GPU,2126,1064,3,0.04931565746665001,0.10756649821996689,0.03268924728035927,0.9755638837814331,0.029590625083073974
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225097954273224,0.5709595680236816,0.023603837937116623,0.7783051133155823,0.03178689978085458
website_phishing,ModernNCA_GPU,902,451,3,0.12692922353744507,0.23176969587802887,0.02199302241206169,0.9179601073265076,0.02751478599384427
MIC,Mitra_GPU,1132,567,8,0.18278557062149048,0.4732080399990082,0.04261879250407219,0.8853615522384644,0.1862268710974604
anneal,Mitra_GPU,598,300,5,0.009253916330635548,0.029338832944631577,0.0075003160163760185,0.996666669845581,0.04913394688628614
maternal_health_risk,Mitra_GPU,676,338,3,0.19642779231071472,0.382690966129303,0.05718694627285004,0.88165682554245,0.030913327122107148
splice,Mitra_GPU,2126,1064,3,0.042114630341529846,0.0896260216832161,0.016748527064919472,0.972744345664978,0.025395354023203254
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3130189776420593,0.5545331835746765,0.025032510980963707,0.7715254426002502,0.023500384064391255
website_phishing,Mitra_GPU,902,451,3,0.11641768366098404,0.22148779034614563,0.03126547113060951,0.9312638640403748,0.03170725307427347
MIC,TabDPT_GPU,1132,567,8,0.19107714295387268,0.5003409385681152,0.04282548651099205,0.8835979104042053,0.21563870692625642
SDSS17,TabDPT_GPU,52035,26018,3,0.04067886993288994,0.08128749579191208,0.002689677057787776,0.9748635292053223,0.222234059125185
anneal,TabDPT_GPU,598,300,5,0.01360318809747696,0.43716567754745483,0.00639598723500967,0.9933333396911621,0.07186605990864336
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06834723800420761,0.17417499423027039,0.0009348356979899108,0.9648985862731934,0.03192005003802478
maternal_health_risk,TabDPT_GPU,676,338,3,0.17823651432991028,0.3461856245994568,0.03899344056844711,0.8846153616905212,0.029810758773237467
splice,TabDPT_GPU,2126,1064,3,0.1001109927892685,0.18082328140735626,0.010468141175806522,0.9342105388641357,0.030789388110861182
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32341545820236206,0.5698004961013794,0.023501604795455933,0.7667796611785889,0.024628503946587443
website_phishing,TabDPT_GPU,902,451,3,0.11671683192253113,0.21788626909255981,0.035376206040382385,0.9290465712547302,0.029777824878692627
